date,X1,XMA1,XMA2,XMSD1,XMSD2,XFD1,XFD2,Z1,Z2,Z3,Z4,Z5,Z6,Z7
2025-01-06 00:00:00-05:00,221.3376154834148,221.3376154834148,221.3376154834148,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-01-07 00:00:00-05:00,220.62041052596285,220.62041052596285,220.62041052596285,0.0,0.0,-0.7172049574519406,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-01-08 00:00:00-05:00,209.48381293537716,209.48381293537716,209.48381293537716,0.0,0.0,-11.136597590585694,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-01-10 00:00:00-05:00,209.16504662530363,209.16504662530363,209.16504662530363,0.0,0.0,-0.31876631007352785,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-01-13 00:00:00-05:00,202.79984740689312,212.68134659539032,202.79984740689312,0.0,0.0,-6.36519921841051,-18.537768076521672,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-01-14 00:00:00-05:00,205.4594813920004,209.50571977710743,205.4594813920004,7.0905467725337115,0.0,2.659633985107291,-15.16092913396244,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-01-15 00:00:00-05:00,208.22868734654222,207.02737514122333,208.22868734654222,5.573040279188531,0.0,2.7692059545418033,-1.255125588834943,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-01-16 00:00:00-05:00,221.08859020326784,209.34833059480144,221.08859020326784,5.732102088181171,0.0,12.859902856725625,11.92354357796421,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-01-17 00:00:00-05:00,214.84292326899725,210.48390592354016,214.84292326899725,6.086672057613316,0.0,-6.245666934270588,12.043075862104132,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-01-21 00:00:00-05:00,219.29556562695876,213.7830495675533,219.29556562695876,6.89855570015089,0.0,4.452642357961508,13.83608423495835,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-01-22 00:00:00-05:00,224.55508117339573,217.6021695238324,224.55508117339573,6.852153398360188,0.0,5.2595155464369725,16.32639382685352,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-01-23 00:00:00-05:00,223.82792131909756,220.7220163183434,223.82792131909756,5.6441901661854,0.0,-0.7271598542981792,2.739331115829714,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-01-24 00:00:00-05:00,225.52130621451485,221.60855952059282,225.52130621451485,3.657554390510484,0.0,1.6933848954172959,10.678382945517598,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-01-27 00:00:00-05:00,206.19661867578688,219.87929860195078,206.19661867578688,6.806624858808356,0.0,-19.32468753872797,-13.098946951171882,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-01-28 00:00:00-05:00,202.05275091794212,216.4307356601474,202.05275091794212,9.324383715183092,0.0,-4.14386775784476,-22.502330255453614,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-01-29 00:00:00-05:00,205.64874377180794,212.64946817982985,205.64874377180794,10.097041964735089,0.0,3.5959928538658232,-18.179177547289612,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-01-30 00:00:00-05:00,208.80644386052086,209.6451726881145,208.80644386052086,9.18231287068537,0.0,3.1577000887129145,-16.714862353993993,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-01-31 00:00:00-05:00,214.1655621564549,207.37402387650255,214.1655621564549,7.695152006773683,0.0,5.359118295934053,7.968943480668031,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-02-03 00:00:00-05:00,204.19442636529647,206.97358541440445,204.19442636529647,3.857471246574561,0.0,-9.971135791158446,2.141675447354345,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-02-04 00:00:00-05:00,204.95147105043955,207.55332944090395,212.61211531599875,3.919712946524832,0.0,0.7570446851430859,-0.6972727213683925,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-02-05 00:00:00-05:00,209.6631041328039,208.35620151310314,212.0283897484682,3.432213857985515,7.687440750501162,4.711633082364358,0.856660272283051,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-02-06 00:00:00-05:00,210.36038273335336,208.66698928766965,211.5153883588377,3.364501719437991,7.4359054069247374,0.6972786005494527,-3.805179423101549,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-02-07 00:00:00-05:00,212.35261957750276,208.30440077187922,211.65882869094398,3.6337060237023806,7.18086183082615,1.992236844149403,8.1581932122063,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-02-10 00:00:00-05:00,209.16504929517012,209.29852535785395,211.6588288244373,2.9215436194087254,7.185559867395184,-3.1875702823326435,4.21357824473057,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-02-11 00:00:00-05:00,209.02559230706984,210.11334960918003,211.97011606944616,2.219786938886268,7.187815817545234,-0.13945698810027807,-0.637511825734066,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-02-12 00:00:00-05:00,206.2663497475795,209.4339987321351,212.01045948722518,1.8116937620302185,7.02327092274051,-2.759242559490332,-4.09403298577385,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-02-13 00:00:00-05:00,201.51485372824501,207.66489293111346,211.67476780631029,3.4619450052028458,7.237118044810499,-4.751496019334496,-10.83776584925775,1.0,1.0,1.0,1.0,1.0,1.0,1.0
